edad,antiguedad_anios,nivel_educacional,area,satisfaccion,renuncia
40,3.6,tecnico,Recursos Humanos,6.3,0
35,4.1,profesional,Recursos Humanos,4.2,1
37,6.8,profesional,Ventas,2.9,1
43,0.6,profesional,Soporte,2.0,1
45,0.3,tecnico,Recursos Humanos,8.9,0
44,3.9,tecnico,TI,5.0,0
60,7.0,tecnico,Ventas,6.6,0
48,1.9,tecnico,Recursos Humanos,5.4,0
34,6.4,tecnico,Recursos Humanos,8.9,0
20,2.6,tecnico,Recursos Humanos,5.9,0
44,8.9,tecnico,Ventas,5.3,0
26,9.0,postgrado,TI,9.3,0
28,3.0,tecnico,TI,7.5,0
43,2.3,profesional,Ventas,2.0,0
20,4.1,tecnico,Recursos Humanos,2.6,0
27,2.4,postgrado,Ventas,8.1,1
43,6.7,profesional,Ventas,8.5,0
30,8.3,tecnico,Recursos Humanos,5.9,0
36,6.7,profesional,Ventas,6.0,0
27,8.2,tecnico,Soporte,6.7,0
54,4.0,profesional,TI,5.0,0
54,1.6,tecnico,Soporte,7.1,1
52,7.4,postgrado,Soporte,2.0,0
24,3.6,profesional,Soporte,9.7,0
58,6.7,tecnico,Ventas,7.8,0
60,2.7,profesional,Recursos Humanos,6.7,0
47,0.8,tecnico,Ventas,3.8,1
26,9.9,postgrado,TI,2.4,1
28,1.6,profesional,Ventas,4.7,1
27,9.9,profesional,Ventas,7.0,1
31,9.8,tecnico,Ventas,6.7,0
53,7.9,postgrado,Ventas,4.4,1
52,6.6,profesional,Soporte,6.5,0
42,5.8,tecnico,Recursos Humanos,8.3,0
43,8.7,tecnico,TI,1.2,1
56,2.9,tecnico,TI,5.1,0
54,4.7,postgrado,TI,7.8,0
59,6.2,tecnico,Ventas,5.9,0
41,4.1,profesional,TI,6.9,0
46,4.3,tecnico,Soporte,5.7,0
54,3.3,tecnico,Recursos Humanos,9.9,0
20,5.6,profesional,Ventas,1.5,0
54,8.5,postgrado,Ventas,5.4,0
56,2.0,profesional,Soporte,1.8,1
33,9.3,postgrado,TI,2.4,0
22,6.9,profesional,Ventas,4.4,1
20,8.2,tecnico,Ventas,2.4,1
24,5.6,tecnico,Soporte,9.7,0
45,7.8,profesional,Soporte,9.5,0
33,0.2,postgrado,TI,4.0,1
58,8.2,postgrado,Recursos Humanos,6.8,0
46,0.4,tecnico,Recursos Humanos,5.8,0
28,8.9,tecnico,TI,8.3,0
34,9.9,tecnico,Recursos Humanos,6.6,0
34,2.9,postgrado,Soporte,1.0,1
45,2.1,postgrado,Soporte,7.9,0
32,7.7,profesional,Soporte,7.7,0
51,2.5,tecnico,Recursos Humanos,5.6,0
58,8.7,profesional,Recursos Humanos,9.1,0
51,1.0,profesional,Ventas,9.2,0
23,1.3,tecnico,Ventas,5.7,1
49,9.8,profesional,Ventas,6.5,0
56,6.7,tecnico,Recursos Humanos,10.0,0
42,8.5,tecnico,Ventas,3.7,0
58,3.2,postgrado,Soporte,3.9,0
34,6.8,profesional,Recursos Humanos,2.6,0
48,5.9,profesional,TI,9.1,0
55,6.0,profesional,Recursos Humanos,7.7,0
32,6.8,tecnico,Ventas,2.0,0
51,5.8,profesional,Recursos Humanos,9.8,0
26,4.3,profesional,Ventas,7.6,0
41,2.8,profesional,Ventas,8.7,0
47,7.7,profesional,TI,1.4,0
21,2.3,tecnico,TI,5.5,0
25,6.9,tecnico,Soporte,7.3,1
47,2.3,profesional,Ventas,5.9,0
47,6.3,tecnico,Recursos Humanos,7.0,0
39,7.5,profesional,TI,8.4,0
49,2.2,tecnico,TI,4.4,0
30,0.6,tecnico,Ventas,8.6,1
47,1.3,tecnico,Recursos Humanos,2.5,1
44,6.1,postgrado,TI,3.4,1
58,8.5,tecnico,TI,1.4,1
52,0.4,profesional,Recursos Humanos,4.3,1
20,7.3,profesional,TI,4.4,1
46,3.4,tecnico,Recursos Humanos,8.2,0
32,4.8,profesional,Ventas,6.9,0
60,9.3,profesional,TI,4.9,0
22,3.3,profesional,Ventas,6.9,0
58,4.7,postgrado,Recursos Humanos,1.5,1
25,0.1,tecnico,Ventas,2.6,1
27,0.8,tecnico,Ventas,6.6,0
46,2.6,postgrado,Ventas,6.8,1
28,0.3,tecnico,Soporte,8.0,1
56,6.3,profesional,Recursos Humanos,4.6,1
52,4.3,profesional,Recursos Humanos,7.5,0
43,5.5,tecnico,Recursos Humanos,7.2,0
34,1.7,profesional,Recursos Humanos,9.7,0
51,3.0,tecnico,Recursos Humanos,2.9,0
51,6.6,tecnico,TI,6.0,0
43,9.7,tecnico,TI,6.4,0
60,0.5,postgrado,TI,10.0,1
31,8.9,tecnico,Ventas,2.8,1
58,5.8,profesional,Ventas,5.7,0
21,5.6,postgrado,Recursos Humanos,4.1,1
22,5.0,profesional,Soporte,5.7,0
56,0.7,profesional,Recursos Humanos,3.1,1
36,0.9,profesional,TI,1.4,0
21,6.0,tecnico,Recursos Humanos,6.2,0
21,3.4,profesional,Ventas,4.0,1
47,9.2,profesional,Recursos Humanos,2.6,0
42,4.1,postgrado,TI,3.9,0
56,1.4,postgrado,Recursos Humanos,1.4,1
51,7.1,postgrado,Ventas,9.6,0
52,2.9,postgrado,Soporte,6.2,0
20,5.3,profesional,TI,8.3,0
38,7.0,profesional,Recursos Humanos,4.8,1
21,9.0,postgrado,Ventas,9.1,0
45,7.9,tecnico,TI,5.3,0
51,6.8,postgrado,TI,6.2,0
25,6.8,profesional,Ventas,5.4,1
51,9.5,profesional,Recursos Humanos,7.6,0
23,3.0,profesional,Recursos Humanos,6.1,0
30,0.0,postgrado,Recursos Humanos,3.4,0
36,2.7,tecnico,TI,2.3,1
57,2.2,profesional,Soporte,6.5,0
43,6.6,profesional,TI,5.4,0
24,6.3,tecnico,Recursos Humanos,1.9,0
53,5.9,profesional,TI,4.6,0
25,0.2,profesional,Soporte,5.6,0
41,7.3,profesional,TI,8.4,0
30,3.2,tecnico,Ventas,1.7,1
35,6.7,profesional,Recursos Humanos,4.1,1
52,5.6,profesional,Recursos Humanos,8.4,0
28,3.4,profesional,Recursos Humanos,6.8,0
25,1.3,tecnico,TI,3.6,1
35,0.9,postgrado,TI,8.6,0
48,8.3,profesional,TI,5.4,0
22,9.2,profesional,Recursos Humanos,5.5,0
39,6.5,profesional,TI,9.8,0
55,1.0,tecnico,Recursos Humanos,9.5,1
38,4.0,profesional,TI,4.2,0
45,7.3,profesional,Recursos Humanos,2.3,1
22,7.8,profesional,Ventas,3.9,0
38,1.2,profesional,TI,1.3,1
39,0.0,profesional,Recursos Humanos,1.2,1
51,7.1,tecnico,Ventas,4.6,1
26,3.6,profesional,Ventas,9.5,0
60,2.5,tecnico,Soporte,8.8,0
52,0.1,tecnico,TI,5.6,0
59,5.4,postgrado,Recursos Humanos,6.1,0
58,8.5,profesional,Soporte,1.1,0
37,9.6,profesional,TI,2.9,1
59,5.7,profesional,Ventas,1.2,0
20,5.1,postgrado,TI,7.8,0
30,0.9,profesional,Recursos Humanos,2.3,1
47,5.5,profesional,Ventas,8.8,0
44,3.8,tecnico,Soporte,6.8,0
42,6.1,postgrado,TI,3.1,0
50,3.9,postgrado,TI,2.4,1
49,2.4,postgrado,Soporte,6.6,0
54,0.9,tecnico,TI,9.1,1
26,3.1,tecnico,TI,7.5,0
35,1.0,tecnico,TI,4.1,1
45,1.8,tecnico,Ventas,6.3,1
21,9.9,postgrado,Ventas,3.8,1
20,4.4,tecnico,Recursos Humanos,10.0,0
31,5.3,tecnico,TI,7.7,0
24,8.7,tecnico,Recursos Humanos,6.5,0
56,10.0,tecnico,Ventas,4.8,0
51,5.8,tecnico,TI,6.6,0
28,8.1,profesional,Recursos Humanos,4.1,0
60,3.3,profesional,TI,1.3,1
54,3.1,tecnico,TI,4.6,0
38,4.0,profesional,Soporte,9.4,0
35,6.7,profesional,Recursos Humanos,6.6,0
22,6.8,tecnico,Ventas,1.8,1
39,3.2,profesional,Recursos Humanos,9.0,0
43,1.3,profesional,Recursos Humanos,3.4,1
52,6.3,profesional,Recursos Humanos,3.2,0
43,1.3,profesional,Soporte,3.7,1
30,5.8,tecnico,TI,6.2,1
27,6.9,postgrado,Ventas,5.9,0
55,7.0,postgrado,Soporte,5.4,0
57,7.5,postgrado,Ventas,7.5,1
59,8.7,tecnico,Soporte,3.8,1
39,5.0,postgrado,TI,8.0,0
54,7.3,postgrado,Ventas,2.6,1
44,6.2,postgrado,Recursos Humanos,8.0,0
54,1.9,tecnico,Soporte,7.0,1
44,0.3,profesional,Ventas,7.1,1
48,2.8,postgrado,TI,5.3,0
37,4.4,profesional,Ventas,7.0,0
37,6.2,profesional,Soporte,1.7,1
21,8.5,postgrado,TI,8.7,0
54,2.0,profesional,Recursos Humanos,1.5,1
35,1.3,profesional,Soporte,2.3,0
60,9.6,profesional,Soporte,6.2,0
55,1.1,postgrado,TI,7.7,1
52,4.8,tecnico,Soporte,1.7,1
23,5.9,profesional,Ventas,9.3,1
52,5.4,profesional,Recursos Humanos,9.8,0
33,0.9,profesional,Ventas,6.5,1
40,0.6,profesional,TI,5.3,1
39,1.1,postgrado,Soporte,7.7,1
27,5.9,postgrado,Recursos Humanos,4.0,0
26,5.4,tecnico,TI,5.4,0
22,2.3,profesional,Ventas,9.2,0
36,6.4,tecnico,Soporte,9.6,0
52,8.2,tecnico,Soporte,9.3,0
31,0.4,profesional,TI,3.4,1
41,5.0,postgrado,Ventas,3.1,1
41,6.9,postgrado,Soporte,3.7,0
49,2.5,tecnico,Ventas,5.0,0
57,3.1,tecnico,Recursos Humanos,3.8,1
57,6.1,profesional,Soporte,4.4,0
27,9.0,profesional,Recursos Humanos,6.6,0
46,8.1,tecnico,Soporte,7.9,0
46,5.8,postgrado,TI,7.6,0
53,7.3,postgrado,Soporte,8.3,0
40,3.6,profesional,Soporte,1.3,1
49,6.4,postgrado,Ventas,1.4,0
52,4.7,tecnico,Ventas,8.1,1
47,1.9,profesional,Recursos Humanos,5.8,0
52,7.0,profesional,Recursos Humanos,6.2,0
24,5.6,tecnico,Recursos Humanos,1.5,1
38,3.6,postgrado,Soporte,3.3,0
23,9.1,profesional,Soporte,6.7,0
54,0.2,profesional,Recursos Humanos,8.7,0
36,3.2,tecnico,TI,9.3,0
47,0.6,tecnico,TI,5.5,0
49,7.7,tecnico,Soporte,5.9,0
48,7.0,profesional,TI,8.5,0
25,3.3,profesional,TI,5.8,0
54,6.8,tecnico,Recursos Humanos,5.7,0
60,4.0,profesional,TI,9.1,0
56,7.6,profesional,TI,8.1,0
43,4.5,profesional,Soporte,9.2,0
48,4.1,profesional,Soporte,3.0,0
50,9.3,postgrado,Soporte,5.7,0
54,2.5,profesional,TI,8.6,0
52,1.2,profesional,Recursos Humanos,2.0,1
40,5.8,tecnico,Ventas,8.2,0
51,9.7,tecnico,Soporte,2.6,0
42,3.8,tecnico,Soporte,8.3,0
52,0.6,profesional,Soporte,6.5,0
22,3.4,tecnico,Recursos Humanos,2.7,1
37,5.1,tecnico,Ventas,5.3,0
44,1.6,profesional,Ventas,7.1,1
50,6.6,tecnico,Soporte,6.7,0
22,10.0,tecnico,TI,4.8,1
59,4.5,tecnico,Soporte,9.1,0
43,3.5,profesional,Soporte,5.7,0
51,4.0,tecnico,TI,5.6,0
41,1.2,profesional,TI,1.6,0
42,8.8,profesional,Soporte,9.3,0
21,4.1,profesional,Recursos Humanos,2.6,0
46,3.9,profesional,Recursos Humanos,5.8,0
21,6.6,postgrado,TI,8.2,0
45,4.4,tecnico,Soporte,2.9,1
36,6.5,tecnico,Recursos Humanos,5.7,1
59,0.6,tecnico,Soporte,3.2,1
52,8.1,tecnico,Soporte,7.8,0
28,9.4,tecnico,Soporte,6.1,0
58,6.5,tecnico,Recursos Humanos,8.7,0
48,9.5,profesional,Ventas,9.1,1
45,1.5,profesional,Soporte,6.8,1
54,4.8,tecnico,Recursos Humanos,7.5,0
44,6.0,profesional,Ventas,5.9,0
43,5.8,tecnico,TI,4.5,1
32,4.0,tecnico,Recursos Humanos,6.8,1
26,3.4,profesional,Ventas,9.2,0
55,1.3,tecnico,Recursos Humanos,4.8,1
39,3.9,tecnico,Ventas,3.8,1
20,1.6,profesional,Ventas,4.5,1
27,7.3,postgrado,Recursos Humanos,4.9,1
35,2.1,profesional,TI,1.7,1
33,0.6,tecnico,Soporte,5.5,1
31,5.5,postgrado,Ventas,5.4,1
42,6.0,profesional,Soporte,6.3,0
34,8.7,profesional,TI,4.3,0
47,5.8,postgrado,Soporte,6.5,0
53,3.5,profesional,Soporte,8.9,0
21,8.0,tecnico,Recursos Humanos,9.6,0
51,5.4,profesional,Recursos Humanos,6.3,0
42,0.8,profesional,TI,1.4,1
41,5.7,profesional,Recursos Humanos,9.7,0
44,9.1,profesional,Ventas,7.4,1
41,4.0,postgrado,TI,4.0,1
41,3.0,postgrado,Recursos Humanos,2.3,0
25,1.4,postgrado,Recursos Humanos,2.3,1
34,1.5,postgrado,TI,2.5,0
56,4.3,postgrado,Ventas,1.4,0
52,6.0,tecnico,TI,9.1,0
27,0.8,tecnico,Recursos Humanos,5.9,0
24,9.4,profesional,Recursos Humanos,7.3,0
58,7.6,postgrado,TI,8.5,0
23,5.9,profesional,Ventas,8.1,1
25,8.3,profesional,Ventas,8.9,0
51,0.8,tecnico,Soporte,9.7,0
49,4.8,tecnico,Ventas,5.0,0
54,6.3,profesional,TI,9.6,0
59,8.3,tecnico,Ventas,7.5,0
35,7.8,tecnico,Ventas,1.6,1
32,2.8,tecnico,Soporte,7.1,0
49,9.4,tecnico,Ventas,7.2,0
38,1.2,profesional,Soporte,9.2,0
36,8.8,tecnico,Soporte,4.4,0
38,9.7,profesional,Ventas,6.3,0
47,1.8,tecnico,Recursos Humanos,1.1,1
45,7.2,postgrado,TI,4.0,0
56,0.4,tecnico,TI,1.6,1
45,4.1,profesional,Ventas,5.7,1
42,5.2,profesional,TI,8.4,0
28,5.8,tecnico,TI,2.9,0
31,9.4,postgrado,Soporte,5.7,0
20,6.7,profesional,Recursos Humanos,2.8,0
20,4.8,profesional,TI,2.1,0
53,8.1,tecnico,Recursos Humanos,5.6,0
51,9.5,postgrado,TI,1.7,0
44,0.2,profesional,Recursos Humanos,6.3,0
59,9.8,tecnico,Recursos Humanos,1.3,1
20,0.9,tecnico,TI,2.0,1
35,8.1,postgrado,Soporte,5.9,0
58,2.8,profesional,Recursos Humanos,6.3,0
24,1.3,profesional,Recursos Humanos,1.3,1
41,4.4,profesional,TI,6.2,0
48,6.4,profesional,Recursos Humanos,8.5,0
22,3.8,tecnico,Recursos Humanos,7.5,0
31,0.5,tecnico,Soporte,2.2,0
45,6.0,profesional,Recursos Humanos,6.3,0
35,9.0,postgrado,Soporte,7.1,0
56,3.8,tecnico,Recursos Humanos,1.3,0
41,2.2,profesional,Recursos Humanos,8.7,0
48,4.4,profesional,Soporte,9.2,0
33,0.5,profesional,Soporte,8.7,1
47,8.2,postgrado,Ventas,8.4,0
24,8.3,profesional,Recursos Humanos,7.7,0
49,5.9,tecnico,Soporte,6.7,0
24,3.5,postgrado,Recursos Humanos,7.1,0
31,8.0,profesional,Recursos Humanos,8.3,0
35,5.5,postgrado,Recursos Humanos,7.0,0
45,8.3,profesional,TI,3.9,0
45,6.3,postgrado,Ventas,4.4,1
40,7.8,tecnico,TI,9.1,0
58,6.0,tecnico,Ventas,1.2,1
55,4.1,postgrado,Recursos Humanos,7.3,0
52,9.6,tecnico,Recursos Humanos,9.6,0
49,5.4,tecnico,Soporte,7.4,0
56,6.1,profesional,Ventas,9.9,1
42,2.2,postgrado,Ventas,7.2,0
29,6.3,tecnico,TI,1.3,1
24,5.7,postgrado,Ventas,8.4,0
55,1.8,profesional,Recursos Humanos,3.6,1
53,0.6,profesional,Soporte,5.0,0
50,6.0,postgrado,TI,3.8,1
29,7.6,profesional,Soporte,3.4,0
38,5.2,tecnico,Ventas,4.9,0
51,2.3,tecnico,Ventas,4.4,1
20,6.7,profesional,TI,6.7,0
24,0.8,profesional,Ventas,8.3,1
23,4.4,postgrado,Soporte,3.7,0
35,1.6,profesional,Recursos Humanos,2.9,1
43,1.8,profesional,TI,7.0,0
35,2.0,profesional,Ventas,7.0,0
21,3.9,tecnico,Soporte,9.1,0
47,0.5,tecnico,Recursos Humanos,1.1,1
51,4.0,postgrado,Ventas,8.7,0
46,5.1,tecnico,TI,5.7,0
39,4.8,tecnico,Ventas,6.6,0
43,3.8,profesional,Ventas,1.8,1
31,8.4,profesional,Ventas,4.9,0
54,1.5,postgrado,Recursos Humanos,3.0,0
52,5.1,tecnico,Recursos Humanos,3.3,0
52,0.6,tecnico,Ventas,5.5,1
56,0.7,tecnico,Ventas,8.3,1
31,5.7,profesional,TI,7.7,0
22,5.7,tecnico,Ventas,6.3,1
20,8.8,profesional,Soporte,5.9,0
52,5.6,postgrado,Soporte,4.8,0
59,9.6,postgrado,TI,9.8,0
29,0.5,tecnico,Recursos Humanos,6.0,1
48,1.0,profesional,Ventas,3.3,1
32,0.4,profesional,TI,3.1,1
31,1.9,postgrado,Recursos Humanos,6.5,1
50,5.4,postgrado,TI,5.7,0
21,6.5,tecnico,Recursos Humanos,1.1,1
54,0.5,profesional,Ventas,8.5,0
42,9.5,tecnico,TI,7.3,0
36,8.4,tecnico,Ventas,7.0,1
45,3.0,tecnico,TI,1.6,0
27,0.8,profesional,Recursos Humanos,4.3,1
48,1.7,profesional,TI,9.4,0
45,1.3,tecnico,Soporte,8.8,0
29,1.2,profesional,Soporte,3.6,1
45,5.2,tecnico,TI,2.4,0
53,2.5,profesional,Soporte,5.0,0
60,3.6,tecnico,Ventas,4.2,1
26,9.9,tecnico,Soporte,7.1,0
23,6.8,profesional,Soporte,9.7,0
30,9.5,tecnico,Ventas,4.3,1
48,1.4,profesional,Ventas,1.6,1
55,3.8,tecnico,Recursos Humanos,9.1,0
44,5.5,profesional,Ventas,1.3,0
40,0.8,tecnico,TI,9.6,0
55,0.0,profesional,Soporte,7.0,0
29,6.7,profesional,Recursos Humanos,9.5,0
56,6.4,tecnico,Ventas,2.8,1
28,4.1,profesional,Soporte,1.4,1
43,4.9,tecnico,TI,5.4,0
54,4.2,profesional,TI,5.1,0
54,0.2,tecnico,Recursos Humanos,4.0,0
55,3.4,profesional,TI,9.6,0
37,1.8,profesional,Soporte,8.4,0
58,1.0,postgrado,Ventas,7.0,1
51,9.6,profesional,TI,2.5,1
43,6.0,profesional,Ventas,7.6,0
42,7.3,profesional,Soporte,7.5,0
51,3.2,postgrado,Soporte,4.8,1
56,3.9,profesional,Ventas,9.3,0
31,2.4,tecnico,Soporte,2.5,0
32,1.0,postgrado,Recursos Humanos,3.4,0
42,1.8,profesional,TI,1.6,1
44,8.0,postgrado,Recursos Humanos,8.2,0
54,6.8,postgrado,Recursos Humanos,6.6,0
60,5.5,tecnico,Recursos Humanos,3.8,1
49,4.8,profesional,Ventas,2.5,1
36,9.2,tecnico,Ventas,1.4,1
39,0.7,tecnico,Soporte,2.5,1
44,2.8,tecnico,Ventas,5.1,0
41,3.5,profesional,Soporte,3.2,0
32,7.8,tecnico,Ventas,3.3,1
38,9.9,tecnico,Soporte,8.9,0
55,2.4,profesional,TI,5.6,0
31,8.7,tecnico,Soporte,7.6,0
60,8.3,tecnico,TI,1.3,1
38,2.2,tecnico,Soporte,4.3,1
31,4.0,tecnico,Ventas,5.3,0
28,4.1,profesional,Ventas,2.7,1
26,9.8,tecnico,TI,2.1,0
47,1.8,postgrado,Recursos Humanos,8.8,1
33,8.0,profesional,Recursos Humanos,9.5,0
50,3.3,tecnico,Soporte,1.7,1
38,7.3,tecnico,Ventas,4.1,1
35,4.2,profesional,Recursos Humanos,9.6,0
24,5.8,profesional,Ventas,1.7,0
54,8.3,tecnico,Ventas,6.8,1
31,8.0,tecnico,Ventas,9.7,1
44,8.7,postgrado,Soporte,9.8,0
40,0.6,tecnico,TI,5.2,0
55,6.9,tecnico,Soporte,2.5,1
42,1.4,postgrado,Recursos Humanos,2.8,1
35,4.2,profesional,TI,9.0,0
58,5.5,tecnico,Recursos Humanos,9.2,1
58,4.0,profesional,TI,6.5,0
33,5.2,tecnico,TI,7.9,0
50,10.0,profesional,Soporte,7.7,0
24,1.4,profesional,Ventas,7.0,0
54,6.8,postgrado,Ventas,8.4,1
42,4.0,postgrado,TI,7.2,0
48,1.3,postgrado,Soporte,5.8,0
30,1.6,postgrado,Recursos Humanos,3.1,0
37,9.5,profesional,Recursos Humanos,7.7,0
31,8.8,tecnico,Ventas,5.3,1
28,9.1,profesional,Ventas,3.7,1
29,9.9,profesional,Recursos Humanos,8.2,0
36,2.1,postgrado,Recursos Humanos,7.3,0
57,3.6,tecnico,Soporte,9.4,1
26,6.7,postgrado,Recursos Humanos,2.5,1
32,4.8,postgrado,Soporte,6.8,0
59,4.2,postgrado,Ventas,3.2,1
28,3.6,postgrado,Recursos Humanos,9.1,0
46,5.9,tecnico,Ventas,1.9,0
21,5.8,tecnico,TI,6.9,0
24,1.6,tecnico,TI,8.1,0
48,4.7,tecnico,TI,4.2,0
56,5.5,profesional,Recursos Humanos,9.6,0
57,5.7,postgrado,Ventas,8.7,0
38,2.1,postgrado,Recursos Humanos,3.7,0
27,7.4,profesional,Ventas,1.1,0
20,0.3,tecnico,Soporte,3.7,0
41,3.5,tecnico,Recursos Humanos,3.5,0
36,7.8,tecnico,TI,9.0,0
26,5.6,tecnico,Soporte,9.7,0
44,2.6,profesional,Ventas,1.6,1
23,6.9,tecnico,Recursos Humanos,5.2,0
55,5.7,tecnico,Ventas,5.9,0
25,8.0,tecnico,Ventas,1.8,1
50,7.4,profesional,Recursos Humanos,4.4,0
38,6.1,profesional,Recursos Humanos,3.9,0
58,4.9,profesional,Ventas,5.8,0
46,1.3,profesional,Ventas,7.0,0
29,2.6,postgrado,Soporte,7.3,0
45,4.2,tecnico,TI,2.2,0
38,6.0,profesional,Ventas,8.3,1
58,5.1,profesional,TI,7.1,0
22,2.9,profesional,Soporte,9.0,0
32,0.1,postgrado,TI,5.0,1
47,5.0,tecnico,TI,9.0,0
39,2.9,profesional,Soporte,8.8,0
47,7.3,tecnico,Ventas,4.9,1
27,0.2,profesional,TI,4.4,0
60,5.8,tecnico,Ventas,9.4,0
58,9.4,tecnico,Ventas,7.4,1
20,1.7,profesional,Recursos Humanos,9.4,1
22,4.7,profesional,Ventas,8.2,1
32,0.9,tecnico,Ventas,6.5,1
47,6.3,profesional,TI,2.0,0
44,5.5,profesional,Ventas,3.6,1
52,4.1,tecnico,Ventas,9.7,0
57,5.2,profesional,Recursos Humanos,3.9,1
25,9.0,profesional,Recursos Humanos,1.8,0
51,2.0,profesional,TI,7.4,0
40,0.2,tecnico,TI,7.6,0
35,8.6,tecnico,Recursos Humanos,3.6,1
40,5.8,profesional,Recursos Humanos,3.7,0
30,8.9,postgrado,Soporte,5.2,0
56,6.0,profesional,Ventas,1.2,0
55,8.1,tecnico,TI,8.1,0
54,4.3,profesional,TI,3.9,0
38,7.5,postgrado,Ventas,8.7,0
39,9.1,tecnico,Ventas,8.2,0
37,5.7,postgrado,TI,7.0,0
60,1.8,postgrado,Recursos Humanos,3.9,0
33,2.7,tecnico,Recursos Humanos,5.6,0
34,2.0,postgrado,Ventas,5.0,0
50,2.5,tecnico,TI,4.0,1
20,3.1,postgrado,Ventas,8.6,1
22,5.6,profesional,Recursos Humanos,5.4,0
35,5.9,profesional,Soporte,8.5,0
42,4.3,profesional,Soporte,1.9,0
30,6.2,profesional,Recursos Humanos,2.3,0
31,0.8,tecnico,Ventas,9.8,1
29,0.9,profesional,Soporte,6.3,0
51,1.7,tecnico,Recursos Humanos,5.6,1
35,5.2,tecnico,TI,5.7,0
27,2.1,tecnico,Ventas,2.9,1
57,2.8,profesional,Ventas,7.5,0
31,4.0,tecnico,Soporte,1.8,1
43,8.1,tecnico,Ventas,6.2,0
47,0.1,tecnico,Soporte,6.1,0
27,6.5,tecnico,Soporte,9.2,0
47,6.7,profesional,Recursos Humanos,5.7,0
55,8.0,postgrado,Soporte,2.2,0
45,9.3,tecnico,TI,6.2,0
27,0.2,postgrado,Ventas,1.8,1
47,1.5,profesional,Soporte,2.8,1
47,8.9,profesional,Ventas,1.3,0
56,4.6,profesional,Soporte,5.6,0
60,5.6,postgrado,Recursos Humanos,1.8,0
55,6.6,tecnico,TI,5.2,0
46,6.8,profesional,Ventas,9.4,1
36,9.3,profesional,Recursos Humanos,7.5,0
28,10.0,profesional,Ventas,1.7,1
52,7.2,postgrado,Recursos Humanos,3.0,0
39,2.9,tecnico,TI,7.1,0
32,8.8,profesional,Soporte,9.1,0
47,0.5,profesional,Recursos Humanos,1.3,1
48,2.3,tecnico,Ventas,8.3,1
32,9.0,tecnico,Ventas,6.1,0
54,2.6,profesional,Recursos Humanos,5.9,0
